,council_name,number,person_name
0,令和 2年 第1回定例会（第1日2月27日）,1,髙島佐浪枝
1,令和 2年 第1回定例会（第1日2月27日）,2,鴻野潔
2,令和 2年 第1回定例会（第1日2月27日）,3,中村明子
3,令和 2年 第1回定例会（第1日2月27日）,4,市來隼
4,令和 2年 第1回定例会（第1日2月27日）,5,江澤由
5,令和 2年 第1回定例会（第1日2月27日）,6,岡田安弘
6,令和 2年 第1回定例会（第1日2月27日）,7,甲斐隆志
7,令和 2年 第1回定例会（第1日2月27日）,8,遠矢家永子
8,令和 2年 第1回定例会（第1日2月27日）,9,五十嵐秀城
9,令和 2年 第1回定例会（第1日2月27日）,10,三井泰之
10,令和 2年 第1回定例会（第1日2月27日）,11,笹内和志
11,令和 2年 第1回定例会（第1日2月27日）,12,竹中健
12,令和 2年 第1回定例会（第1日2月27日）,13,真鍋宗一郎
13,令和 2年 第1回定例会（第1日2月27日）,14,木本祐
14,令和 2年 第1回定例会（第1日2月27日）,15,森本信之
15,令和 2年 第1回定例会（第1日2月27日）,16,岡井寿美代
16,令和 2年 第1回定例会（第1日2月27日）,17,出町ゆかり
17,令和 2年 第1回定例会（第1日2月27日）,19,宮田俊治
18,令和 2年 第1回定例会（第1日2月27日）,20,吉田忠則
19,令和 2年 第1回定例会（第1日2月27日）,21,吉田章浩
20,令和 2年 第1回定例会（第1日2月27日）,22,平田裕也
21,令和 2年 第1回定例会（第1日2月27日）,23,山口重雄
22,令和 2年 第1回定例会（第1日2月27日）,24,吉田稔弘
23,令和 2年 第1回定例会（第1日2月27日）,25,強田純子
24,令和 2年 第1回定例会（第1日2月27日）,26,宮本雄一郎
25,令和 2年 第1回定例会（第1日2月27日）,27,川口洋一
26,令和 2年 第1回定例会（第1日2月27日）,28,北岡隆浩
27,令和 2年 第1回定例会（第1日2月27日）,29,灰垣和美
28,令和 2年 第1回定例会（第1日2月27日）,30,福井浩二
29,令和 2年 第1回定例会（第1日2月27日）,31,岩為俊
30,令和 2年 第1回定例会（第1日2月27日）,32,久保隆
31,令和 2年 第1回定例会（第1日2月27日）,33,中浜実
32,令和 2年 第1回定例会（第1日2月27日）,34,中村玲子
33,令和 2年 第1回定例会（第2日3月4日）,1,髙島佐浪枝
34,令和 2年 第1回定例会（第2日3月4日）,2,鴻野潔
35,令和 2年 第1回定例会（第2日3月4日）,3,中村明子
36,令和 2年 第1回定例会（第2日3月4日）,4,市來隼
37,令和 2年 第1回定例会（第2日3月4日）,5,江澤由
38,令和 2年 第1回定例会（第2日3月4日）,6,岡田安弘
39,令和 2年 第1回定例会（第2日3月4日）,7,甲斐隆志
40,令和 2年 第1回定例会（第2日3月4日）,8,遠矢家永子
41,令和 2年 第1回定例会（第2日3月4日）,9,五十嵐秀城
42,令和 2年 第1回定例会（第2日3月4日）,10,三井泰之
43,令和 2年 第1回定例会（第2日3月4日）,11,笹内和志
44,令和 2年 第1回定例会（第2日3月4日）,12,竹中健
45,令和 2年 第1回定例会（第2日3月4日）,13,真鍋宗一郎
46,令和 2年 第1回定例会（第2日3月4日）,14,木本祐
47,令和 2年 第1回定例会（第2日3月4日）,15,森本信之
48,令和 2年 第1回定例会（第2日3月4日）,16,岡井寿美代
49,令和 2年 第1回定例会（第2日3月4日）,17,出町ゆかり
50,令和 2年 第1回定例会（第2日3月4日）,18,髙木隆太
51,令和 2年 第1回定例会（第2日3月4日）,19,宮田俊治
52,令和 2年 第1回定例会（第2日3月4日）,20,吉田忠則
53,令和 2年 第1回定例会（第2日3月4日）,21,吉田章浩
54,令和 2年 第1回定例会（第2日3月4日）,22,平田裕也
55,令和 2年 第1回定例会（第2日3月4日）,23,山口重雄
56,令和 2年 第1回定例会（第2日3月4日）,24,吉田稔弘
57,令和 2年 第1回定例会（第2日3月4日）,25,強田純子
58,令和 2年 第1回定例会（第2日3月4日）,26,宮本雄一郎
59,令和 2年 第1回定例会（第2日3月4日）,27,川口洋一
60,令和 2年 第1回定例会（第2日3月4日）,28,北岡隆浩
61,令和 2年 第1回定例会（第2日3月4日）,29,灰垣和美
62,令和 2年 第1回定例会（第2日3月4日）,30,福井浩二
63,令和 2年 第1回定例会（第2日3月4日）,31,岩為俊
64,令和 2年 第1回定例会（第2日3月4日）,32,久保隆
65,令和 2年 第1回定例会（第2日3月4日）,33,中浜実
66,令和 2年 第1回定例会（第2日3月4日）,34,中村玲子
67,令和 2年 第1回定例会（第3日3月5日）,1,髙島佐浪枝
68,令和 2年 第1回定例会（第3日3月5日）,2,鴻野潔
69,令和 2年 第1回定例会（第3日3月5日）,3,中村明子
70,令和 2年 第1回定例会（第3日3月5日）,4,市來隼
71,令和 2年 第1回定例会（第3日3月5日）,5,江澤由
72,令和 2年 第1回定例会（第3日3月5日）,6,岡田安弘
73,令和 2年 第1回定例会（第3日3月5日）,7,甲斐隆志
74,令和 2年 第1回定例会（第3日3月5日）,8,遠矢家永子
75,令和 2年 第1回定例会（第3日3月5日）,9,五十嵐秀城
76,令和 2年 第1回定例会（第3日3月5日）,10,三井泰之
77,令和 2年 第1回定例会（第3日3月5日）,11,笹内和志
78,令和 2年 第1回定例会（第3日3月5日）,12,竹中健
79,令和 2年 第1回定例会（第3日3月5日）,13,真鍋宗一郎
80,令和 2年 第1回定例会（第3日3月5日）,14,木本祐
81,令和 2年 第1回定例会（第3日3月5日）,15,森本信之
82,令和 2年 第1回定例会（第3日3月5日）,16,岡井寿美代
83,令和 2年 第1回定例会（第3日3月5日）,17,出町ゆかり
84,令和 2年 第1回定例会（第3日3月5日）,18,髙木隆太
85,令和 2年 第1回定例会（第3日3月5日）,19,宮田俊治
86,令和 2年 第1回定例会（第3日3月5日）,20,吉田忠則
87,令和 2年 第1回定例会（第3日3月5日）,21,吉田章浩
88,令和 2年 第1回定例会（第3日3月5日）,22,平田裕也
89,令和 2年 第1回定例会（第3日3月5日）,23,山口重雄
90,令和 2年 第1回定例会（第3日3月5日）,24,吉田稔弘
91,令和 2年 第1回定例会（第3日3月5日）,25,強田純子
92,令和 2年 第1回定例会（第3日3月5日）,26,宮本雄一郎
93,令和 2年 第1回定例会（第3日3月5日）,27,川口洋一
94,令和 2年 第1回定例会（第3日3月5日）,28,北岡隆浩
95,令和 2年 第1回定例会（第3日3月5日）,29,灰垣和美
96,令和 2年 第1回定例会（第3日3月5日）,30,福井浩二
97,令和 2年 第1回定例会（第3日3月5日）,31,岩為俊
98,令和 2年 第1回定例会（第3日3月5日）,32,久保隆
99,令和 2年 第1回定例会（第3日3月5日）,33,中浜実
100,令和 2年 第1回定例会（第3日3月5日）,34,中村玲子
101,令和 2年 第1回定例会（第4日3月24日）,1,髙島佐浪枝
102,令和 2年 第1回定例会（第4日3月24日）,2,鴻野潔
103,令和 2年 第1回定例会（第4日3月24日）,3,中村明子
104,令和 2年 第1回定例会（第4日3月24日）,4,市來隼
105,令和 2年 第1回定例会（第4日3月24日）,5,江澤由
106,令和 2年 第1回定例会（第4日3月24日）,6,岡田安弘
107,令和 2年 第1回定例会（第4日3月24日）,7,甲斐隆志
108,令和 2年 第1回定例会（第4日3月24日）,8,遠矢家永子
109,令和 2年 第1回定例会（第4日3月24日）,9,五十嵐秀城
110,令和 2年 第1回定例会（第4日3月24日）,10,三井泰之
111,令和 2年 第1回定例会（第4日3月24日）,11,笹内和志
112,令和 2年 第1回定例会（第4日3月24日）,12,竹中健
113,令和 2年 第1回定例会（第4日3月24日）,13,真鍋宗一郎
114,令和 2年 第1回定例会（第4日3月24日）,14,木本祐
115,令和 2年 第1回定例会（第4日3月24日）,15,森本信之
116,令和 2年 第1回定例会（第4日3月24日）,16,岡井寿美代
117,令和 2年 第1回定例会（第4日3月24日）,17,出町ゆかり
118,令和 2年 第1回定例会（第4日3月24日）,18,髙木隆太
119,令和 2年 第1回定例会（第4日3月24日）,19,宮田俊治
120,令和 2年 第1回定例会（第4日3月24日）,20,吉田忠則
121,令和 2年 第1回定例会（第4日3月24日）,21,吉田章浩
122,令和 2年 第1回定例会（第4日3月24日）,22,平田裕也
123,令和 2年 第1回定例会（第4日3月24日）,23,山口重雄
124,令和 2年 第1回定例会（第4日3月24日）,24,吉田稔弘
125,令和 2年 第1回定例会（第4日3月24日）,25,強田純子
126,令和 2年 第1回定例会（第4日3月24日）,26,宮本雄一郎
127,令和 2年 第1回定例会（第4日3月24日）,27,川口洋一
128,令和 2年 第1回定例会（第4日3月24日）,28,北岡隆浩
129,令和 2年 第1回定例会（第4日3月24日）,29,灰垣和美
130,令和 2年 第1回定例会（第4日3月24日）,30,福井浩二
131,令和 2年 第1回定例会（第4日3月24日）,31,岩為俊
132,令和 2年 第1回定例会（第4日3月24日）,32,久保隆
133,令和 2年 第1回定例会（第4日3月24日）,33,中浜実
134,令和 2年 第1回定例会（第4日3月24日）,34,中村玲子
135,令和 2年 第2回臨時会（第1日5月1日）,1,髙島佐浪枝
136,令和 2年 第2回臨時会（第1日5月1日）,2,鴻野潔
137,令和 2年 第2回臨時会（第1日5月1日）,3,中村明子
138,令和 2年 第2回臨時会（第1日5月1日）,4,市來隼
139,令和 2年 第2回臨時会（第1日5月1日）,5,江澤由
140,令和 2年 第2回臨時会（第1日5月1日）,6,岡田安弘
141,令和 2年 第2回臨時会（第1日5月1日）,7,甲斐隆志
142,令和 2年 第2回臨時会（第1日5月1日）,8,遠矢家永子
143,令和 2年 第2回臨時会（第1日5月1日）,9,五十嵐秀城
144,令和 2年 第2回臨時会（第1日5月1日）,10,三井泰之
145,令和 2年 第2回臨時会（第1日5月1日）,11,笹内和志
146,令和 2年 第2回臨時会（第1日5月1日）,12,竹中健
147,令和 2年 第2回臨時会（第1日5月1日）,13,真鍋宗一郎
148,令和 2年 第2回臨時会（第1日5月1日）,14,木本祐
149,令和 2年 第2回臨時会（第1日5月1日）,15,森本信之
150,令和 2年 第2回臨時会（第1日5月1日）,17,出町ゆかり
151,令和 2年 第2回臨時会（第1日5月1日）,18,髙木隆太
152,令和 2年 第2回臨時会（第1日5月1日）,19,宮田俊治
153,令和 2年 第2回臨時会（第1日5月1日）,20,吉田忠則
154,令和 2年 第2回臨時会（第1日5月1日）,21,吉田章浩
155,令和 2年 第2回臨時会（第1日5月1日）,22,平田裕也
156,令和 2年 第2回臨時会（第1日5月1日）,23,山口重雄
157,令和 2年 第2回臨時会（第1日5月1日）,24,吉田稔弘
158,令和 2年 第2回臨時会（第1日5月1日）,25,強田純子
159,令和 2年 第2回臨時会（第1日5月1日）,26,宮本雄一郎
160,令和 2年 第2回臨時会（第1日5月1日）,27,川口洋一
161,令和 2年 第2回臨時会（第1日5月1日）,28,北岡隆浩
162,令和 2年 第2回臨時会（第1日5月1日）,29,灰垣和美
163,令和 2年 第2回臨時会（第1日5月1日）,30,福井浩二
164,令和 2年 第2回臨時会（第1日5月1日）,31,岩為俊
165,令和 2年 第2回臨時会（第1日5月1日）,32,久保隆
166,令和 2年 第2回臨時会（第1日5月1日）,33,中浜実
167,令和 2年 第2回臨時会（第1日5月1日）,34,中村玲子
168,令和 2年 第3回臨時会（第1日5月20日）,1,髙島佐浪枝
169,令和 2年 第3回臨時会（第1日5月20日）,2,鴻野潔
170,令和 2年 第3回臨時会（第1日5月20日）,3,中村明子
171,令和 2年 第3回臨時会（第1日5月20日）,4,市來隼
172,令和 2年 第3回臨時会（第1日5月20日）,5,江澤由
173,令和 2年 第3回臨時会（第1日5月20日）,6,岡田安弘
174,令和 2年 第3回臨時会（第1日5月20日）,7,甲斐隆志
175,令和 2年 第3回臨時会（第1日5月20日）,8,遠矢家永子
176,令和 2年 第3回臨時会（第1日5月20日）,9,五十嵐秀城
177,令和 2年 第3回臨時会（第1日5月20日）,10,三井泰之
178,令和 2年 第3回臨時会（第1日5月20日）,11,笹内和志
179,令和 2年 第3回臨時会（第1日5月20日）,12,竹中健
180,令和 2年 第3回臨時会（第1日5月20日）,13,真鍋宗一郎
181,令和 2年 第3回臨時会（第1日5月20日）,14,木本祐
182,令和 2年 第3回臨時会（第1日5月20日）,15,森本信之
183,令和 2年 第3回臨時会（第1日5月20日）,16,岡井寿美代
184,令和 2年 第3回臨時会（第1日5月20日）,17,出町ゆかり
185,令和 2年 第3回臨時会（第1日5月20日）,18,髙木隆太
186,令和 2年 第3回臨時会（第1日5月20日）,19,宮田俊治
187,令和 2年 第3回臨時会（第1日5月20日）,20,吉田忠則
188,令和 2年 第3回臨時会（第1日5月20日）,21,吉田章浩
189,令和 2年 第3回臨時会（第1日5月20日）,22,平田裕也
190,令和 2年 第3回臨時会（第1日5月20日）,23,山口重雄
191,令和 2年 第3回臨時会（第1日5月20日）,24,吉田稔弘
192,令和 2年 第3回臨時会（第1日5月20日）,25,強田純子
193,令和 2年 第3回臨時会（第1日5月20日）,26,宮本雄一郎
194,令和 2年 第3回臨時会（第1日5月20日）,27,川口洋一
195,令和 2年 第3回臨時会（第1日5月20日）,28,北岡隆浩
196,令和 2年 第3回臨時会（第1日5月20日）,29,灰垣和美
197,令和 2年 第3回臨時会（第1日5月20日）,30,福井浩二
198,令和 2年 第3回臨時会（第1日5月20日）,31,岩為俊
199,令和 2年 第3回臨時会（第1日5月20日）,32,久保隆
200,令和 2年 第3回臨時会（第1日5月20日）,33,中浜実
201,令和 2年 第3回臨時会（第1日5月20日）,34,中村玲子
202,令和 2年 第3回臨時会（第2日5月22日）,1,髙島佐浪枝
203,令和 2年 第3回臨時会（第2日5月22日）,2,鴻野潔
204,令和 2年 第3回臨時会（第2日5月22日）,3,中村明子
205,令和 2年 第3回臨時会（第2日5月22日）,4,市來隼
206,令和 2年 第3回臨時会（第2日5月22日）,5,江澤由
207,令和 2年 第3回臨時会（第2日5月22日）,6,岡田安弘
208,令和 2年 第3回臨時会（第2日5月22日）,7,甲斐隆志
209,令和 2年 第3回臨時会（第2日5月22日）,8,遠矢家永子
210,令和 2年 第3回臨時会（第2日5月22日）,9,五十嵐秀城
211,令和 2年 第3回臨時会（第2日5月22日）,10,三井泰之
212,令和 2年 第3回臨時会（第2日5月22日）,11,笹内和志
213,令和 2年 第3回臨時会（第2日5月22日）,12,竹中健
214,令和 2年 第3回臨時会（第2日5月22日）,13,真鍋宗一郎
215,令和 2年 第3回臨時会（第2日5月22日）,14,木本祐
216,令和 2年 第3回臨時会（第2日5月22日）,15,森本信之
217,令和 2年 第3回臨時会（第2日5月22日）,16,岡井寿美代
218,令和 2年 第3回臨時会（第2日5月22日）,17,出町ゆかり
219,令和 2年 第3回臨時会（第2日5月22日）,18,髙木隆太
220,令和 2年 第3回臨時会（第2日5月22日）,19,宮田俊治
221,令和 2年 第3回臨時会（第2日5月22日）,20,吉田忠則
222,令和 2年 第3回臨時会（第2日5月22日）,21,吉田章浩
223,令和 2年 第3回臨時会（第2日5月22日）,22,平田裕也
224,令和 2年 第3回臨時会（第2日5月22日）,23,山口重雄
225,令和 2年 第3回臨時会（第2日5月22日）,24,吉田稔弘
226,令和 2年 第3回臨時会（第2日5月22日）,25,強田純子
227,令和 2年 第3回臨時会（第2日5月22日）,26,宮本雄一郎
228,令和 2年 第3回臨時会（第2日5月22日）,27,川口洋一
229,令和 2年 第3回臨時会（第2日5月22日）,28,北岡隆浩
230,令和 2年 第3回臨時会（第2日5月22日）,29,灰垣和美
231,令和 2年 第3回臨時会（第2日5月22日）,30,福井浩二
232,令和 2年 第3回臨時会（第2日5月22日）,31,岩為俊
233,令和 2年 第3回臨時会（第2日5月22日）,32,久保隆
234,令和 2年 第3回臨時会（第2日5月22日）,33,中浜実
235,令和 2年 第3回臨時会（第2日5月22日）,34,中村玲子
